model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier_score,log_loss,ece_10_bins
Conventional Random Forest,0.9444103570990305,0.9457142487695014,0.9177744953225012,0.9690668053028334,0.9427234795802251,0.9838215811024597,0.042848351108407845,0.15146459451384012,0.01340282957802675
Conventional Gradient Boosting,0.9434286415511106,0.9449081662285344,0.9141389432485323,0.9714062906160644,0.9419029615626969,0.9850608110288263,0.042417566150189115,0.14330934608483656,0.011019516206090285
VEAI Gradient Boosting,0.9248987605841208,0.9273444430788684,0.8817559594052395,0.9711463478034832,0.9242949035131123,0.974421464097982,0.05573011171346433,0.1826821069227033,0.010543997581808124
VEAI Random Forest,0.9228126150447907,0.9246812981478802,0.8873375060182956,0.9581492071744216,0.9213848268966379,0.9735382204757352,0.056407112386977265,0.1883161257931265,0.013895623633205864
Conventional Logistic Regression,0.9182721806356609,0.9202022695871622,0.8818727490996399,0.9547699506108656,0.9168746879680479,0.9713228454686506,0.061022621409137674,0.19951934394495263,0.011993540187424389
VEAI Logistic Regression,0.8614553932997914,0.8624448739361952,0.8352244696595955,0.8801663634000519,0.8571066953550184,0.94084228480427,0.09738781299894003,0.30566990989446446,0.024842777572814525
